image,total_boxes,train_boxes,other_boxes
VAIPE_P_0_0,2,2,0
VAIPE_P_0_1,2,2,0
VAIPE_P_0_10,2,2,0
VAIPE_P_0_11,3,3,0
VAIPE_P_0_12,3,3,0
VAIPE_P_0_13,2,2,0
VAIPE_P_0_14,3,3,0
VAIPE_P_0_15,3,3,0
VAIPE_P_0_16,2,2,0
VAIPE_P_0_17,3,3,0
VAIPE_P_0_18,3,3,0
VAIPE_P_0_19,3,3,0
VAIPE_P_0_2,2,2,0
VAIPE_P_0_20,2,2,0
VAIPE_P_0_21,3,3,0
VAIPE_P_0_22,3,3,0
VAIPE_P_0_23,2,2,0
VAIPE_P_0_24,3,3,0
VAIPE_P_0_25,3,3,0
VAIPE_P_0_26,3,3,0
VAIPE_P_0_27,3,3,0
VAIPE_P_0_28,2,2,0
VAIPE_P_0_3,2,2,0
VAIPE_P_0_4,3,3,0
VAIPE_P_0_5,3,3,0
VAIPE_P_0_6,3,3,0
VAIPE_P_0_7,3,3,0
VAIPE_P_0_8,3,3,0
VAIPE_P_0_9,3,3,0
VAIPE_P_1000_0,3,3,0
VAIPE_P_1001_0,3,3,0
VAIPE_P_1002_0,4,4,0
VAIPE_P_1003_0,3,3,0
VAIPE_P_1004_0,3,3,0
VAIPE_P_1005_0,4,4,0
VAIPE_P_1006_0,3,3,0
VAIPE_P_1007_0,3,3,0
VAIPE_P_1008_0,3,3,0
VAIPE_P_1009_0,3,3,0
VAIPE_P_100_0,2,2,0
VAIPE_P_100_3,2,2,0
VAIPE_P_1010_0,4,4,0
VAIPE_P_1011_0,4,2,2
VAIPE_P_1011_1,4,2,2
VAIPE_P_1011_2,4,2,2
VAIPE_P_1011_3,4,2,2
VAIPE_P_1012_0,2,2,0
VAIPE_P_1012_1,2,2,0
VAIPE_P_1012_10,3,3,0
VAIPE_P_1012_3,3,3,0
VAIPE_P_1012_4,3,3,0
VAIPE_P_1012_6,2,2,0
VAIPE_P_1012_8,2,2,0
VAIPE_P_1012_9,3,3,0
VAIPE_P_1013_0,3,3,0
VAIPE_P_1013_1,3,3,0
VAIPE_P_1013_2,3,3,0
VAIPE_P_1013_3,3,3,0
VAIPE_P_1013_4,3,3,0
VAIPE_P_1013_5,3,3,0
VAIPE_P_1015_1,2,2,0
VAIPE_P_1017_0,6,6,0
VAIPE_P_1017_1,4,4,0
VAIPE_P_1017_2,4,4,0
VAIPE_P_1017_3,6,6,0
VAIPE_P_1018_0,4,4,0
VAIPE_P_1019_0,4,4,0
VAIPE_P_101_0,2,2,0
VAIPE_P_101_10,2,2,0
VAIPE_P_101_11,3,3,0
VAIPE_P_101_12,2,2,0
VAIPE_P_101_17,3,3,0
VAIPE_P_101_19,2,2,0
VAIPE_P_101_3,2,2,0
VAIPE_P_101_5,2,2,0
VAIPE_P_101_7,2,2,0
VAIPE_P_101_8,2,2,0
VAIPE_P_1020_0,4,4,0
VAIPE_P_1020_1,4,4,0
